id,group_buy_id,product_id,price_override,active,sort_order
dd195d43-b8dd-450a-858e-881fab233a84,93V4L,p027,,t,
e10f54a9-3cc5-4e3a-ae45-bfa65e3fab17,93V4L,p026,,t,
d15255cb-1ebf-4f33-ad14-d5537c80fe75,93V4L,p034,,t,
61fc56e5-1847-4a79-8f9b-887cb64ac0df,93V4L,p060,,t,
5c039eea-b620-4106-9a7a-563452bc4951,93V4L,p028,,t,
0afb078f-45aa-4390-9b63-dfeb4d6ad139,93V4L,p077,,t,
7e7f130d-e212-4de6-8cba-53781272c9f2,93V4L,p120,,t,
99c67733-e5ea-468c-8368-74ba6b437104,93V4L,p091,,t,
519b6dc9-d863-4ae8-a51d-3467474ada50,93V4L,p019,,t,
1a0a1286-30a0-4f21-899c-91c5beac4701,93V4L,p021,,t,
34ade3e9-c4b0-413c-98fc-c47fcff9c48b,93V4L,p094,,t,
e57feaed-1e5e-4f79-8bd7-9b65d0f8561f,93V4L,p072,,t,
8e5bd753-22ff-4b5a-8d8e-b3007d7a530b,93V4L,p030,,t,
e5d2dfe5-aacf-4e88-b056-453a559d2f29,93V4L,p031,,t,
c689a5a3-07ec-434c-b0f4-b719d571d5b6,93V4L,p123,,t,
cb22a058-33db-4c54-812d-c1480913555c,93V4L,p071,,t,
52381ac7-5643-4570-87dd-594c1e778db4,93V4L,p107,,t,
aa4b59d5-fe17-41a8-a265-5f0733d419e3,93V4L,p015,,t,
5d365072-764b-4c29-ae59-a0ba60a8aef7,93V4L,p014,,t,
542aade0-8a87-468c-9959-9ddbc5509a0f,93V4L,p114,,t,
570b7edf-7081-4826-8660-adb9f5e0ef09,93V4L,p109,,t,
cca12056-b22b-4684-8e47-4c94a7e229fb,93V4L,p102,,t,
820cfdb1-1431-4223-846a-fae1e66356f5,93V4L,p111,,t,
98acf79b-8ad8-4fe1-b7fe-bae68f307e8c,93V4L,p074,,t,
7d883af7-bfed-4a54-bbce-a54ee5998201,93V4L,p073,,t,
5a9f7dcf-ca68-4e69-af04-243d2f3e7734,93V4L,p045,,t,
2c7a8e2a-eca1-4e62-85ce-b7ea58cb5c6f,93V4L,p044,,t,
75395daa-c9c8-428f-8168-93460b8ddad2,93V4L,p110,,t,
cd84c178-d291-4e67-a78c-6b59c3cb4c9e,93V4L,p117,,t,
8660666b-927a-4648-a0b9-433a9ec497db,93V4L,p023,,t,
7adac820-89f2-4939-91c6-a20620063963,93V4L,p070,,t,
1d3ba747-dbbb-4bf9-b503-1e8602fd705d,93V4L,p069,,t,
c5fe7087-3e17-4a7c-a7eb-e5fe738e5d98,93V4L,p039,,t,
bcba5576-295d-445f-a178-ec8d029ba587,93V4L,p040,,t,
90bc4d21-d68d-46e2-8b0e-5b526413d818,93V4L,p066,,t,
ef549d28-1a7a-424a-a7f3-c7e81970ead4,93V4L,p036,,t,
2ae19de3-97b0-4628-b5e0-1e9b4d221ccf,93V4L,p018,,t,
3c1fe1a4-ca77-4639-8c82-714551638216,93V4L,p020,,t,
e655c8dd-dbdd-4f27-9e33-ae021fe83626,93V4L,p078,,t,
678c3f38-2086-4c7b-98a6-860e86fa8ce8,93V4L,p119,,t,
45eabb04-bc79-4e00-b294-1123e07ba3c3,93V4L,p079,,t,
d221e0f1-d150-45f2-a7a0-63a7461d6fba,93V4L,p048,,t,
48e6adce-f758-45ea-bdf8-0bd05774b82f,93V4L,p047,,t,
0e1f97da-d54a-46af-8832-58c219c23b22,93V4L,p088,,t,
b552ae3f-e4dc-4504-b78e-f7a3630c664c,93V4L,p100,,t,
a88aff4b-fe56-4969-a4c8-b74158bc964f,93V4L,p099,,t,
befd6776-6344-419d-b8a3-6525593e4a65,93V4L,p096,,t,
9907b925-deaa-4832-9b04-5ebafdc8a104,93V4L,p097,,t,
118408c3-ef3e-4317-94d7-a0050704dc70,93V4L,p098,,t,
09bc599c-59e5-4462-a2fa-e79c0f4a9a4b,93V4L,p024,,t,
8c1b0518-7edb-43bc-826a-0e961cba29ef,93V4L,p101,,t,
eb10f33b-f479-4f3a-a623-d2c1055c37b5,93V4L,p125,,t,
59b92ec6-e185-4589-bbfc-3ae0afc6ae4b,93V4L,p025,,t,
0679b77d-c8a6-4c2e-bec1-09ca10ba76a6,93V4L,p057,,t,
4e43bfce-4bd1-497a-bb6d-287a31226e8c,93V4L,p038,,t,
6cb4c91c-5fde-46c2-8aae-001bdef769d7,93V4L,p089,,t,
4f0437fa-6b95-4079-8b51-3dd8b7090a55,93V4L,p087,,t,
f2b30b1b-4aa9-40f6-b29b-06d50b43a90c,93V4L,p084,,t,
195bac7f-915b-4a8e-9b42-e9189541cfe2,93V4L,p085,,t,
dbfa7e01-c5a7-4224-b8c5-44a436314e15,93V4L,p124,,t,
9e6a12c5-6c75-43fd-ba62-108972126764,93V4L,p022,,t,
10794762-1c72-4854-bdcc-5a9f458f300a,93V4L,p112,,t,
0036fe02-4856-4d2b-a02a-9c729a3574ed,93V4L,p083,,t,
bb14bbde-22f6-485e-9023-529cff458618,93V4L,p016,,t,
ac5fdbab-f0e1-4946-856b-f8c723c3ab2d,93V4L,p043,,t,
d19fca55-a39e-4153-bfe7-7ffa7829208b,93V4L,p042,,t,
4d447e28-a526-4258-bbcc-5de3c28bbabc,93V4L,p051,,t,
06661c2b-afb7-4e5f-872d-241923addfa2,93V4L,p052,,t,
bd839dd1-e53c-431c-a896-90c54f55774f,93V4L,p053,,t,
b2d5ef07-ee1e-48bd-8b4c-234119f234e7,93V4L,p041,,t,
861abc96-8755-4a6c-b563-be17abe8f29d,93V4L,p064,,t,
dab1e3ea-eefc-428d-8eb3-4183a4605349,93V4L,p063,,t,
f7437229-8e07-46ee-826d-1faab6d91f58,GW5JW,prod-2320fe36,,t,
88ae66a4-b684-46cf-b992-b59108d1a134,93V4L,p126,,t,
09a76347-3a47-432a-a629-feea179ae021,93V4L,p105,,t,
9af00e87-a1a7-4ceb-856b-7ddf73ca9bb1,93V4L,p067,,t,
2f6d7b81-4539-47c7-92ef-a85149469830,93V4L,p115,,t,
28267f73-e1c0-4a5e-afa3-c9b14cf375db,93V4L,p090,,t,
6bfba4cf-ff13-431d-90d0-3c30f625c904,93V4L,p104,,t,
77011d81-7e26-4ab8-8a09-a4b6c829ea80,93V4L,p082,,t,
