"id","name","vendor","price","active","category","sort_order","source_group_buy_id","organiser_id","mg_size","stock","low_stock_threshold","created_at","updated_at","unit_count","weight_grams","wholesale_enabled","wholesale_price"
"000ef323-addc-48c6-931c-cddc3bd82316","Mast P (DP)","WWB","35.00","true","aas",,"64K2M","j4mes_r","100mg",,,"""2026-04-15T17:12:08.765Z""","""2026-04-15T17:12:08.765Z""",,,"true",
"001c9dde-8510-45e7-9abe-1395a35e42ed","Ipamorelin","WWB","60.00","true","peptide",,"64K2M","j4mes_r","10mg",,,"""2026-04-15T17:12:03.603Z""","""2026-04-15T17:12:03.603Z""",,,"true",
"014a3f18-db0a-4de5-add2-b0d6889ba72a","LL37","WWB","90.00","true","peptide",,"64K2M","j4mes_r","5mg",,,"""2026-04-15T17:12:03.806Z""","""2026-04-15T17:12:03.806Z""",,,"true",
"02f1c0d1-b797-4c30-ad85-30d523603555","GHK-CU + TB500 + BPC157 Blend","WWB","150.00","true","peptide",,"64K2M","j4mes_r","50mg",,,"""2026-04-15T17:12:02.140Z""","""2026-04-15T17:12:02.140Z""",,,"true",
"043b6fef-ce25-4486-a924-b028b25fe9bb","Gonadorelin","WWB","35.00","true","peptide",,"64K2M","j4mes_r","2mg",,,"""2026-04-15T17:12:03.110Z""","""2026-04-15T17:12:03.110Z""",,,"true",
"04bb17fb-43bc-4f0a-9f87-75da81445f45","CJC-1295 With DAC","WWB","70.00","true","peptide",,"64K2M","j4mes_r","2mg",,,"""2026-04-15T17:12:02.437Z""","""2026-04-15T17:12:02.437Z""",,,"true",
"0718b0bc-40db-4d61-9d93-088c4d0a2a25","NPP","WWB","15.00","true","aas",,"64K2M","j4mes_r","100mg",,,"""2026-04-15T17:12:08.386Z""","""2026-04-15T17:12:08.386Z""",,,"true",
"08039cde-1414-4b07-a3be-d5d619d1049a","Estradial Cypionate","WWB","15.00","true","other",,"64K2M","j4mes_r","10mg",,,"""2026-04-15T17:12:08.965Z""","""2026-04-15T17:12:08.965Z""",,,"true",
"080ad6f0-6c4b-4af4-95f1-2e4cb6b96dfa","Cagrilintide","WWB","120.00","true","peptide",,"64K2M","j4mes_r","10mg",,,"""2026-04-15T17:12:02.536Z""","""2026-04-15T17:12:02.536Z""",,,"true",
"083cebf6-c16f-4d68-8f53-f8233ab92538","Epithalon","WWB","150.00","true","peptide",,"64K2M","j4mes_r","50mg",,,"""2026-04-15T17:12:02.813Z""","""2026-04-15T17:12:02.813Z""",,,"true",
"08d0b14c-1be5-4265-95c1-c466d12a320f","Tirzepatide","WWB","20.00","true","peptide",,"64K2M","j4mes_r","500mcg",,,"""2026-04-15T17:12:07.493Z""","""2026-04-15T17:12:07.493Z""",,,"true",
"09159996-057c-4a6c-b562-abc4754a6354","GHK-CU + TB500 + BPC157 Blend","WWB","170.00","true","peptide",,"64K2M","j4mes_r","70mg",,,"""2026-04-15T17:12:02.166Z""","""2026-04-15T17:12:02.166Z""",,,"true",
"0936afc2-782c-4c7f-9376-6a7f8329b492","PT-141","WWB","50.00","true","peptide",,"64K2M","j4mes_r","10mg",,,"""2026-04-15T17:12:04.396Z""","""2026-04-15T17:12:04.396Z""",,,"true",
"093ccb26-6f88-489c-a83f-a922579e8893","DECA (ND)","WWB","16.00","true","aas",,"64K2M","j4mes_r","200mg",,,"""2026-04-15T17:12:08.335Z""","""2026-04-15T17:12:08.335Z""",,,"true",
"0a13738e-b162-408c-aa21-9af78fdce203","P21","WWB","55.00","true","peptide",,"64K2M","j4mes_r","10mg",,,"""2026-04-15T17:12:04.299Z""","""2026-04-15T17:12:04.299Z""",,,"true",
"0a3de3dd-5ff7-48dd-ba6a-1ed5175d20dc","Retatrutide","WWB","280.00","true","peptide",,"64K2M","j4mes_r","60mg",,,"""2026-04-15T17:12:01.785Z""","""2026-04-15T17:12:01.785Z""",,,"true",
"0b4fbe42-32eb-412f-b249-aa3cfa991cec","BPC 157","WWB","95.00","true","peptide",,"64K2M","j4mes_r","20mg",,,"""2026-04-15T17:12:01.962Z""","""2026-04-15T17:12:01.962Z""",,,"true",
"0c6427ad-857e-4b2c-8fe1-2bda8245819a","Tirzepatide","WWB","90.00","true","peptide",,"64K2M","j4mes_r","30mg",,,"""2026-04-15T17:12:01.329Z""","""2026-04-15T17:12:01.329Z""",,,"true",
"0ca2795b-aa08-4033-a53e-bfc83524a096","Semaglutide","WWB","55.00","true","peptide",,"64K2M","j4mes_r","3mg",,,"""2026-04-15T17:12:07.541Z""","""2026-04-15T17:12:07.541Z""",,,"true",
"0e0843f9-b152-4968-9ef6-0be52a524a11","Ipamorelin","WWB","30.00","true","peptide",,"64K2M","j4mes_r","2mg",,,"""2026-04-15T17:12:03.552Z""","""2026-04-15T17:12:03.552Z""",,,"true",
"0e2ec3ca-957f-4040-b352-6d9ee6ab05b9","Lipo Mino Mix","WWB","90.00","true","other",,"64K2M","j4mes_r",,,,"""2026-04-15T17:12:09.219Z""","""2026-04-15T17:12:09.219Z""",,,"true",
"0e995831-4386-4a04-aad8-de19947faa6f","Prednisone","WWB","20.00","true","other",,"64K2M","j4mes_r","10mg",,,"""2026-04-15T17:12:07.299Z""","""2026-04-15T17:12:07.299Z""",,,"true",
"0ec5d5fd-5f55-4161-9c0c-699349fee3d8","Cagrilintide","WWB","220.00","true","peptide",,"64K2M","j4mes_r","20mg",,,"""2026-04-15T17:12:02.561Z""","""2026-04-15T17:12:02.561Z""",,,"true",
"0f683ab9-1670-4b8d-b20c-dbc797b5daef","HCG","WWB","70.00","true","peptide",,"64K2M","j4mes_r","5000IU",,,"""2026-04-15T17:12:03.428Z""","""2026-04-15T17:12:03.428Z""",,,"true",
"0fa6e2e8-d1ba-46e6-b18f-80252b92fdb5","HGH 191AA (Somatropin)","WWB","40.00","true","peptide",,"64K2M","j4mes_r","6iu",,,"""2026-04-15T17:12:03.135Z""","""2026-04-15T17:12:03.135Z""",,,"true",
"0ff5b8fd-5063-4914-941d-3fb0e4874446","HGH Fragment 176-191","WWB","45.00","true","peptide",,"64K2M","j4mes_r","2mg",,,"""2026-04-15T17:12:03.477Z""","""2026-04-15T17:12:03.477Z""",,,"true",
"0fffab22-926a-4b8c-a2d5-96a957d37d03","Retatrutide","WWB","240.00","true","peptide",,"64K2M","j4mes_r","50mg",,,"""2026-04-15T17:12:01.760Z""","""2026-04-15T17:12:01.760Z""",,,"true",
"1102b60a-d6de-4fd2-8c87-79cafe1a2c96","YK11","WWB","60.00","true","sarm",,"64K2M","j4mes_r","10mg",,,"""2026-04-15T17:12:07.177Z""","""2026-04-15T17:12:07.177Z""",,,"true",
"11391426-7e43-4069-beb1-775bb7609aec","HGH 191AA (Somatropin)","WWB","140.00","true","peptide",,"64K2M","j4mes_r","36iu",,,"""2026-04-15T17:12:03.256Z""","""2026-04-15T17:12:03.256Z""",,,"true",
"11b9234f-61e8-4f7c-bcdc-5758fd338a8d","Minoxidil","WWB","15.00","true","other",,"64K2M","j4mes_r","5mg",,,"""2026-04-15T17:12:07.445Z""","""2026-04-15T17:12:07.445Z""",,,"true",
"12b115b2-ccfc-4906-af6a-3afab8d7d03d","TEST P","WWB","10.00","true","aas",,"64K2M","j4mes_r","100mg",,,"""2026-04-15T17:12:07.914Z""","""2026-04-15T17:12:07.914Z""",,,"true",
"12d9e29b-e401-4a7d-b5d1-c4b114c41c77","Tirzepatide","WWB","150.00","true","peptide",,"64K2M","j4mes_r","60mg",,,"""2026-04-15T17:12:01.406Z""","""2026-04-15T17:12:01.406Z""",,,"true",
"142ccd19-d1c9-4690-9182-02fed82bcc0d","Semax","WWB","35.00","true","peptide",,"64K2M","j4mes_r","5mg",,,"""2026-04-15T17:12:04.724Z""","""2026-04-15T17:12:04.724Z""",,,"true",
"1479fa00-e629-4bdd-b95f-e5a1333cff5f","NAD+","WWB","15.00","true","peptide",,"64K2M","j4mes_r","100mg",,,"""2026-04-15T17:12:08.990Z""","""2026-04-15T17:12:08.990Z""",,,"true",
"152df2b5-b32c-4c38-818d-8528ab9c961d","KPV","WWB","150.00","true","peptide",,"64K2M","j4mes_r","30mg",,,"""2026-04-15T17:12:03.782Z""","""2026-04-15T17:12:03.782Z""",,,"true",
"15a3c921-b45d-449b-98b4-93b4acc5bd0e","MGF","WWB","45.00","true","peptide",,"64K2M","j4mes_r","2mg",,,"""2026-04-15T17:12:04.007Z""","""2026-04-15T17:12:04.007Z""",,,"true",
"16267838-e1f8-4196-ac75-7069e2108db9","ANADROL (Oxymetholone)","WWB","18.00","true","aas",,"64K2M","j4mes_r","50mg",,,"""2026-04-15T17:12:08.865Z""","""2026-04-15T17:12:08.865Z""",,,"true",
"16f0f975-da07-4c2f-96d6-6d6793f96814","Pancragen","WWB","110.00","true","peptide",,"64K2M","j4mes_r","20mg",,,"""2026-04-15T17:12:05.611Z""","""2026-04-15T17:12:05.611Z""",,,"true",
"17213d39-cc1b-49a4-a71d-37a0e751e7c3","5-amino-1mq","WWB","35.00","true","peptide",,"64K2M","j4mes_r","5mg",,,"""2026-04-15T17:12:05.142Z""","""2026-04-15T17:12:05.142Z""",,,"true",
"1763222b-3e97-4a87-b5a7-794169b34dea","CLENBUTEROL","WWB","15.00","true","other",,"64K2M","j4mes_r","40mcg",,,"""2026-04-15T17:12:06.436Z""","""2026-04-15T17:12:06.436Z""",,,"true",
"1779d320-0401-4412-9934-54ed0394ecf0","GW-501516 (Cardarine)","WWB","25.00","true","sarm",,"64K2M","j4mes_r","10mg",,,"""2026-04-15T17:12:07.152Z""","""2026-04-15T17:12:07.152Z""",,,"true",
"177baef0-f6e7-447d-81e2-88aaea914f50","PTD-DBM","WWB","195.00","true","peptide",,"64K2M","j4mes_r","5mg",,,"""2026-04-15T17:12:04.275Z""","""2026-04-15T17:12:04.275Z""",,,"true",
"19420e78-b77f-4e8a-b428-7de6c34619f4","AOD9604","WWB","45.00","true","peptide",,"64K2M","j4mes_r","2mg",,,"""2026-04-15T17:12:01.988Z""","""2026-04-15T17:12:01.988Z""",,,"true",
"1bc49674-0dc6-4cc6-96b1-0e2dc12bd772","NAD+","WWB","50.00","true","peptide",,"64K2M","j4mes_r","250mg",,,"""2026-04-15T17:12:04.129Z""","""2026-04-15T17:12:04.129Z""",,,"true",
"1cce7e3e-fea1-4287-b33a-589e0a62cdb3","CJC-1295 With DAC","WWB","130.00","true","peptide",,"64K2M","j4mes_r","5mg",,,"""2026-04-15T17:12:02.461Z""","""2026-04-15T17:12:02.461Z""",,,"true",
"1db309ad-54e0-4ed1-a150-43ad83234193","DECA (ND)","WWB","20.00","true","aas",,"64K2M","j4mes_r","300mg",,,"""2026-04-15T17:12:08.361Z""","""2026-04-15T17:12:08.361Z""",,,"true",
"1e0217b9-b118-45f5-b455-191a9704b446","SZ352","WWB","100.00","true","other",,"64K2M","j4mes_r",,,,"""2026-04-15T17:12:09.319Z""","""2026-04-15T17:12:09.319Z""",,,"true",
"1f8aa5ac-69fd-4d8d-9887-687562c9fe2b","MOTS-C","WWB","55.00","true","peptide",,"64K2M","j4mes_r","10mg",,,"""2026-04-15T17:12:03.959Z""","""2026-04-15T17:12:03.959Z""",,,"true",
"22112a13-bb5c-4f67-bb84-99337e1a2770","TB-500","WWB","120.00","true","peptide",,"64K2M","j4mes_r","10mg",,,"""2026-04-15T17:12:01.835Z""","""2026-04-15T17:12:01.835Z""",,,"true",
"225e4a89-e447-4621-908b-7befcd97e32e","T3","WWB","15.00","true","other",,"64K2M","j4mes_r","25mcg",,,"""2026-04-15T17:12:06.681Z""","""2026-04-15T17:12:06.681Z""",,,"true",
"245634a3-08d0-4600-b0bb-510774e9c479","Oxytocin Acetate","WWB","35.00","true","peptide",,"64K2M","j4mes_r","2mg",,,"""2026-04-15T17:12:04.201Z""","""2026-04-15T17:12:04.201Z""",,,"true",
"246f78df-dd9a-49a8-bc0f-36379cd146aa","Dermorphin","WWB","55.00","true","peptide",,"64K2M","j4mes_r","5mg",,,"""2026-04-15T17:12:02.686Z""","""2026-04-15T17:12:02.686Z""",,,"true",
"24ecbdb4-9d51-4069-b5a9-796859bbb6bc","BPC 157","WWB","55.00","true","peptide",,"64K2M","j4mes_r","10mg",,,"""2026-04-15T17:12:01.937Z""","""2026-04-15T17:12:01.937Z""",,,"true",
"24ee6417-e4d2-4290-b34b-d54c740f9b15","Tren A","WWB","20.00","true","aas",,"64K2M","j4mes_r","100mg",,,"""2026-04-15T17:12:08.109Z""","""2026-04-15T17:12:08.109Z""",,,"true",
"256796c6-3a36-406c-ab69-c84f7e527546","Tesamorelin","WWB","75.00","true","peptide",,"64K2M","j4mes_r","5mg",,,"""2026-04-15T17:12:04.947Z""","""2026-04-15T17:12:04.947Z""",,,"true",
"25d33ffb-a42f-4c70-abee-b3da3c47203c","BPC-157 Arg","WWB","45.00","true","peptide",,"64K2M","j4mes_r","500mcg",,,"""2026-04-15T17:12:05.837Z""","""2026-04-15T17:12:05.837Z""",,,"true",
"288bb388-2b9b-4008-83e9-5ad67dee411f","Survodutide","WWB","210.00","true","peptide",,"64K2M","j4mes_r","10mg",,,"""2026-04-15T17:12:04.546Z""","""2026-04-15T17:12:04.546Z""",,,"true",
"2924d391-7ad4-41e1-97fe-15269bd3f14a","Retatrutide","WWB","160.00","true","peptide",,"64K2M","j4mes_r","30mg",,,"""2026-04-15T17:12:01.708Z""","""2026-04-15T17:12:01.708Z""",,,"true",
"2a4e517c-4ece-4cfa-9b5a-830250ffbbc4","Tesofensine","WWB","35.00","true","other",,"64K2M","j4mes_r","500mcg",,,"""2026-04-15T17:12:05.887Z""","""2026-04-15T17:12:05.887Z""",,,"true",
"2a5bd9fd-1288-4d31-803f-034b3cdb5247","Thymalin","WWB","55.00","true","peptide",,"64K2M","j4mes_r","10mg",,,"""2026-04-15T17:12:05.020Z""","""2026-04-15T17:12:05.020Z""",,,"true",
"2b91b07c-13f9-47df-bfcf-2ea598383795","Mazdutide","WWB","185.00","true","peptide",,"64K2M","j4mes_r","10mg",,,"""2026-04-15T17:12:04.056Z""","""2026-04-15T17:12:04.056Z""",,,"true",
