"id","order_id","product_id","product_name","quantity","unit_price","line_total","created_at","updated_at"
"00c14223-3de3-40a3-b32b-f963766b3ff2","3f1e6f0a-d1fa-474e-a8ea-68c90fc1d9a1","p012","Retatrutide 40mg","1.00","165.00","165.00","""2026-03-18T20:20:09.108Z""","""2026-03-18T20:20:09.108Z"""
"03fdb933-0504-42d8-b3e7-263b842659b9","ef424a02-1925-4f55-949b-4b714f5c7cbc","p058","Thymosin Alpha-1 10mg","0.50","125.00","62.50","""2026-03-24T10:34:43.069Z""","""2026-03-24T10:34:43.069Z"""
"05f0eba6-74a0-4b07-8196-607bdfc3ac2b","3b7280a7-b855-489a-b9d1-b2f03e5f3d0b","p109","Cartalax 20mg","1.00","120.00","120.00","""2026-03-22T09:29:16.183Z""","""2026-03-22T09:29:16.183Z"""
"085e0a8b-7508-42ff-b882-fbac4555c93e","c67237d3-15ca-4487-b138-43c30d2e1df0","p039","Epitalon 10mg","2.00","45.00","90.00","""2026-03-18T20:20:08.877Z""","""2026-03-18T20:20:08.877Z"""
"0927674a-4d39-4fc8-8a36-55942f51b135","8fee86d5-5f56-462a-bc6f-354c2bcdc90e","p030","BPC 157 10mg","2.00","45.00","90.00","""2026-03-20T17:51:52.278Z""","""2026-03-20T17:51:52.278Z"""
"0aea270a-88f9-463b-96b5-d8c44e08d2a5","f390e78f-35ca-4021-a236-a0c36532a061","p010","Retatrutide 20mg","1.00","120.00","120.00","""2026-03-20T06:50:33.892Z""","""2026-03-20T06:50:33.892Z"""
"0c322c29-3763-455b-abbf-d4fb4123d9d5","af9e5b89-b039-4746-93be-5e2c9cf2dddd","p085","KPV 30mg","0.50","145.00","72.50","""2026-03-18T20:20:09.007Z""","""2026-03-18T20:20:09.007Z"""
"0e0adf21-5733-4f6c-8e6c-5bf052b37cf5","c0a3135e-928e-4285-8916-e1f7ed71e04b","p015","Cagrilintide 10mg","1.00","170.00","170.00","""2026-03-21T17:27:18.086Z""","""2026-03-21T17:27:18.086Z"""
"0e18ee67-e3cb-4477-83b5-0f624df33099","9ece120d-7dbc-4009-ae0c-658d3d58b3d5","p096","HCG 1000 IU GMP 3ml 10vials","1.00","40.00","40.00","""2026-03-21T06:31:03.403Z""","""2026-03-21T06:31:03.403Z"""
"0e42232a-63b4-4b7e-b616-b655d045abce","feacea3c-d137-4fb2-8955-2f154947b317","p007","Tirzepatide 60mg","1.00","135.00","135.00","""2026-03-20T13:23:13.883Z""","""2026-03-20T13:23:13.883Z"""
"0eeb1a71-3f32-483a-9543-f91da2299cdd","c310cffd-47c0-4225-ade9-62923897b77f","p084","KPV 10mg","1.00","60.00","60.00","""2026-03-18T20:20:08.899Z""","""2026-03-18T20:20:08.899Z"""
"0f3ae874-25a0-4b30-ae39-99f71483607d","af9e5b89-b039-4746-93be-5e2c9cf2dddd","p024","HGH 10IU","1.00","50.00","50.00","""2026-03-18T20:20:09.007Z""","""2026-03-18T20:20:09.007Z"""
"11f966db-f067-4ec7-a884-80f932ec47ef","c67237d3-15ca-4487-b138-43c30d2e1df0","p062","Selank 10mg","1.00","55.00","55.00","""2026-03-18T20:20:08.877Z""","""2026-03-18T20:20:08.877Z"""
"12c545fe-b5be-4a5e-98cb-559d191970e4","bb1c75a0-a705-4887-9f13-38ed114c6af3","p004","Tirzepatide 20mg","1.00","85.00","85.00","""2026-03-18T23:17:30.972Z""","""2026-03-18T23:17:30.972Z"""
"155afa06-600d-4f5a-8943-8d87126e7a0c","3bd9eefd-7e2a-4e5c-9b4e-b1cff3038cf4","p030","BPC 157 10mg","1.00","45.00","45.00","""2026-03-18T20:20:08.891Z""","""2026-03-18T20:20:08.891Z"""
"155fa6e3-a08d-4234-9029-dd53207a02fe","872ee5ff-b754-4068-ad98-c7c06c86e42d","p007","Tirzepatide 60mg","1.00","135.00","135.00","""2026-03-18T20:20:09.067Z""","""2026-03-18T20:20:09.067Z"""
"16d4b084-e8f3-455f-922e-fa6b0504c5c8","83a3d960-ba23-47a3-883c-ed6883ab9d27","p118","Vesilute 20mg","1.00","120.00","120.00","""2026-03-18T20:20:09.071Z""","""2026-03-18T20:20:09.071Z"""
"170dfb42-e15f-459f-af09-61e9ad2b855a","af9e5b89-b039-4746-93be-5e2c9cf2dddd","p007","Tirzepatide 60mg","0.50","135.00","67.50","""2026-03-18T20:20:09.007Z""","""2026-03-18T20:20:09.007Z"""
"1875193c-46d9-4093-97c1-f2880b8f71da","17b2c399-9bba-4740-8b1e-751b5baaa252","p010","Retatrutide 20mg","3.00","120.00","360.00","""2026-03-21T13:13:46.402Z""","""2026-03-21T13:13:46.402Z"""
"197e8f88-ae88-4c3d-a403-8d8216c99d19","f390e78f-35ca-4021-a236-a0c36532a061","p072","BPC 10mg / TB4 10mg Blend","1.00","135.00","135.00","""2026-03-20T06:50:33.892Z""","""2026-03-20T06:50:33.892Z"""
"19a88f42-29fa-40cf-b13a-892c26162b38","8fee86d5-5f56-462a-bc6f-354c2bcdc90e","p025","IGF-1 LR3 1mg","1.00","210.00","210.00","""2026-03-20T17:51:52.278Z""","""2026-03-20T17:51:52.278Z"""
"1ab45e06-8aaf-4894-b462-7d5135115930","17b2c399-9bba-4740-8b1e-751b5baaa252","p110","Cortagen 20mg","0.50","120.00","60.00","""2026-03-21T13:13:46.402Z""","""2026-03-21T13:13:46.402Z"""
